model,task,mode,nshot,accuracy_raw,accuracy_raw_std,accuracy_raw_ci,parse_errors
starcoderplus,folio,baseline,1,0.3241758241758242,0.03421048690918412,0.008345482364505503,0
starcoderplus,folio,baseline,2,0.3956043956043956,0.03560963704466593,0.008686798254336473,0
starcoderplus,folio,baseline,4,0.3901098901098901,0.03688695086429246,0.00899839276580689,0
starcoderplus,folio,baseline,8,0.34615384615384615,0.03472405756665028,0.008470765435634802,0
starcoderplus,folio,scratchpad,1,0.34065934065934067,0.035095396757495054,0.008561351830288335,0
starcoderplus,folio,scratchpad,2,0.3516483516483517,0.035499395777839886,0.008659905431951926,0
starcoderplus,folio,scratchpad,4,0.3241758241758242,0.03477891774032803,0.008484148308937855,0
starcoderplus,folio,scratchpad,8,0.3241758241758242,0.03545974380540671,0.008650232525584433,0
starcoderplus,folio,cot,1,0.35714285714285715,0.03669287828379214,0.00895104970102389,0
starcoderplus,folio,cot,2,0.4065934065934066,0.03723757957289614,0.009083926938761202,0
starcoderplus,folio,cot,4,0.34615384615384615,0.03564776518467202,0.008696099429173793,0
starcoderplus,folio,cot,8,0.4175824175824176,0.03613730833553422,0.008815521106597746,0
starcoderplus,folio,neurosymbolic,1,0.45054945054945056,0.0382336541716203,0.009326914506270882,10
starcoderplus,folio,neurosymbolic,2,0.45054945054945056,0.03729845651107998,0.009098777572584888,9
starcoderplus,folio,neurosymbolic,4,0.532967032967033,0.036943560759084906,0.009012202475089924,12
starcoderplus,folio,neurosymbolic,8,0.5604395604395604,0.03628119751109422,0.00885062217312939,12
starcoderplus,proofwriter,baseline,8,0.37777777777777777,0.025571499253545422,0.004435400318333474,0
starcoderplus,proofwriter,scratchpad,8,0.38055555555555554,0.02631583323217609,0.004564505738904666,0
starcoderplus,proofwriter,cot,8,0.3861111111111111,0.02563621991645684,0.004446626177483686,0
starcoderplus,proofwriter,neurosymbolic,8,0.825,0.019134722978313274,0.00331893548937951,3
gpt-3.5-turbo-16k-0613,folio,baseline,1,0.46153846153846156,0.03792077898470583,0.009250590121832346,0
gpt-3.5-turbo-16k-0613,folio,baseline,2,0.510989010989011,0.03643094815974983,0.008887153117595229,0
gpt-3.5-turbo-16k-0613,folio,baseline,4,0.510989010989011,0.03591978074087322,0.008762456304864413,0
gpt-3.5-turbo-16k-0613,folio,baseline,8,0.4835164835164835,0.0370500824570101,0.009038187926680596,0
gpt-3.5-turbo-16k-0613,folio,scratchpad,1,0.4340659340659341,0.03617774978852193,0.008825386602917628,0
gpt-3.5-turbo-16k-0613,folio,scratchpad,2,0.44505494505494503,0.03551066212763976,0.008662653803345084,0
gpt-3.5-turbo-16k-0613,folio,scratchpad,4,0.44505494505494503,0.03608053917737417,0.008801672545788595,0
gpt-3.5-turbo-16k-0613,folio,scratchpad,8,0.47802197802197804,0.036378703871896075,0.008874408376952189,0
gpt-3.5-turbo-16k-0613,folio,cot,1,0.532967032967033,0.037144010889812236,0.009061101312320408,0
gpt-3.5-turbo-16k-0613,folio,cot,2,0.5989010989010989,0.036120548145195455,0.008811432539449632,0
gpt-3.5-turbo-16k-0613,folio,cot,4,0.532967032967033,0.035711732368573806,0.008711703913453031,0
gpt-3.5-turbo-16k-0613,folio,cot,8,0.5494505494505495,0.03727705129586857,0.009093555874146937,0
gpt-3.5-turbo-16k-0613,folio,neurosymbolic,1,0.5494505494505495,0.03597124131395058,0.008775009862088679,30
gpt-3.5-turbo-16k-0613,folio,neurosymbolic,2,0.6043956043956044,0.03666463013925546,0.008944158703164472,11
gpt-3.5-turbo-16k-0613,folio,neurosymbolic,4,0.6428571428571429,0.03544173261934955,0.008645838784098001,11
gpt-3.5-turbo-16k-0613,folio,neurosymbolic,8,0.6263736263736264,0.03686021884914755,0.008991871620359538,9
gpt-3.5-turbo-16k-0613,proofwriter,baseline,8,0.3638888888888889,0.025322799344990803,0.0043922630879882595,0
gpt-3.5-turbo-16k-0613,proofwriter,scratchpad,8,0.33055555555555555,0.024594159574687344,0.004265879842441704,0
gpt-3.5-turbo-16k-0613,proofwriter,cot,8,0.4361111111111111,0.026912461545160696,0.004667991474453463,0
gpt-3.5-turbo-16k-0613,proofwriter,neurosymbolic,8,0.9638888888888889,0.00978287588052854,0.001696848916228371,2
gpt-4-0613,folio,baseline,8,0.6978021978021978,0.03416773118904637,0.008335052313938301,0
gpt-4-0613,folio,scratchpad,8,0.6868131868131868,0.033938647344893026,0.008279168421187814,0
gpt-4-0613,folio,cot,8,0.7527472527472527,0.031844807208804414,0.007768386274876699,0
gpt-4-0613,folio,neurosymbolic,8,0.7252747252747253,0.03317274827494018,0.008092331057596628,4
gpt-4-0613,proofwriter,baseline,8,0.5305555555555556,0.026313500354873468,0.004564101099167742,0
gpt-4-0613,proofwriter,scratchpad,8,0.5583333333333333,0.025513532931648663,0.004425346005911497,0
gpt-4-0613,proofwriter,cot,8,0.7222222222222222,0.02338352472137299,0.004055894101655247,0
gpt-4-0613,proofwriter,neurosymbolic,8,0.9833333333333333,0.0066638136256228905,0.0011558446684468357,3
